,Event,Record Attendance,Record Week,This Week
0,Aachener Weiher,92,03/10/2023,53
1,Abbey Park,364,13/05/2023,
2,Aberbeeg,364,01/01/2020,50
3,Aberdare,171,23/06/2018,90
4,Aberdeen,630,01/01/2020,326
5,Aberfields,180,19/08/2023,46
6,Aberystwyth,184,26/08/2023,114
7,Aberystwyth juniors,59,03/05/2015,42
8,Abingdon,507,14/09/2019,167
9,Achill Greenway,78,29/07/2023,35
10,Acton juniors,128,17/03/2019,42
11,Aggeneys,55,15/09/2018,
12,Aggeneys,55,23/10/2021,
13,Agnew,169,01/02/2020,39
14,Airlie Beach,135,01/07/2023,68
15,Akkerendam Nature Reserve,70,29/04/2023,19
16,Akrotiri,225,01/07/2023,72
17,Albert,590,01/01/2019,281
18,Albert College juniors,170,12/03/2017,54
19,Albert Melbourne,997,11/02/2017,589
20,Alberton Ascot,33,31/12/2022,
21,Alberts Farm,917,13/01/2018,242
22,Albury Wodonga,379,04/02/2017,235
23,Aldenham,232,20/04/2019,93
24,Alderford Lake,325,31/08/2019,
25,Alderley Park,258,16/07/2022,136
26,Alderman Kneeshaw juniors,60,05/05/2019,28
27,Aldinga Beach,259,01/01/2020,82
28,Alexandra,646,21/10/2023,472
29,"Alexandra juniors, Moss Side",95,11/09/2022,59
30,"Alexandra juniors, Oldham",111,05/03/2017,25
31,Alice Holt,756,01/01/2020,247
32,Aliwal North Golf Club,105,09/09/2023,42
33,Allerpark,158,28/10/2023,62
34,Ally Pally,444,11/01/2020,
35,Alness,244,14/09/2019,80
36,Alstervorland,202,15/07/2023,87
37,Alton Water,179,06/11/2021,45
38,Altona Beach,212,08/02/2020,122
39,Alvaston,585,01/01/2020,301
40,Alyn Waters juniors,68,21/07/2019,34
41,Amager Fælled,402,05/06/2023,97
42,Amager Strandpark,644,05/06/2023,56
43,Amanzimtoti,467,08/06/2019,152
44,Ambleside,114,02/09/2023,61
45,Amsterdamse Bos,508,14/10/2023,175
46,Anacostia,73,11/01/2020,26
47,Ancholme Valley Way,223,05/02/2022,86
48,Anchorsholme juniors,48,16/01/2022,35
49,Anderson,185,14/10/2023,
50,Andover,485,04/01/2020,233
51,Andover juniors,153,07/05/2017,36
52,Anstey Hill Recreation,106,27/08/2022,44
53,Antrim,491,29/07/2023,279
54,Aplins Weir,291,28/04/2018,93
55,Applecross,268,06/05/2017,194
56,Ara Harakeke,155,04/02/2023,88
57,Ararat,97,23/03/2019,48
58,Archerfield Walled Garden juniors,142,13/03/2022,89
59,Ardgillan,205,29/04/2023,80
60,Arklow Duck Pond juniors,146,17/11/2019,26
61,Armagh,211,26/03/2016,62
62,Armidale,280,13/03/2021,151
63,Armley,437,01/01/2019,107
64,Arrow Rest,136,17/09/2022,51
65,Arrow Valley,604,11/01/2020,248
66,Ashbourne Recreation Ground,229,03/06/2023,68
67,Ashford,375,13/07/2019,124
68,Ashford juniors,103,21/05/2017,56
69,Ashgrove,490,01/01/2020,228
70,Ashington Community Woodland,230,22/07/2023,45
71,Ashlyns juniors,73,18/07/2021,35
72,Ashton Court,698,25/01/2020,399
73,Aspen,21,07/04/2018,10
74,Aston Hall,105,04/11/2023,105
75,Atherton,128,22/07/2023,98
76,Athlone,141,23/01/2016,28
77,Atholl,805,03/03/2018,149
78,Atlasville,1017,12/01/2019,212
79,Augustów,34,21/11/2015,11
80,Auldcathie District,601,07/01/2023,194
81,Aurora,135,09/11/2019,58
82,Australian Standing Stones,78,25/02/2023,18
83,Aveley,141,07/03/2020,97
84,Avenham Park juniors,130,30/06/2019,55
85,Avery Beach,47,13/08/2022,
86,Aviators Paradise,176,02/09/2023,65
87,Aviemore,179,20/04/2019,62
88,Avondale Forest,207,08/04/2023,58
89,Avondale University College,243,27/03/2021,59
90,Aylesbury,314,20/04/2019,
91,Aylesbury juniors,105,21/07/2019,37
92,Aylestone juniors,202,18/09/2016,49
93,Ayr,140,20/09/2014,85
94,Babbs Mill,352,21/01/2023,75
95,Bahnstadt Promenade,131,30/09/2023,59
96,Bailey juniors,57,17/11/2019,18
97,Bairnsdale,165,12/03/2016,65
98,Balbriggan juniors,98,15/10/2017,27
99,Balclutha,128,01/01/2020,43
100,Ballachulish Quarry juniors,24,29/10/2023,15
101,Ballina,234,16/01/2016,72
102,Ballina Coast,284,28/12/2019,124
103,Ballinamore Greenway,178,09/07/2022,37
104,Ballincollig,604,09/02/2019,258
105,Ballincollig Regional juniors,221,08/09/2019,73
106,Ballito,649,28/04/2018,198
107,Baltimore and Annapolis Trail,85,16/09/2023,43
108,Balyang Sanctuary,283,22/02/2020,248
109,Bambra Bolinda,26,31/12/2022,
110,Banbury,426,04/05/2019,131
111,Bangor,420,07/05/2016,268
112,Bangor juniors,274,24/04/2016,54
113,Bankton Mains Park juniors,71,26/09/2021,34
114,Bannockburn Bush,208,14/10/2017,81
115,Banstead Woods,388,25/12/2019,132
116,Bapsfontein Hotel,169,22/01/2022,32
117,Barclay,180,04/05/2019,70
118,Bargara,340,08/04/2023,233
119,Baringa,196,08/12/2018,77
120,Barking,306,25/12/2019,122
121,Barking juniors,41,04/06/2023,34
122,Barking juniors,41,23/07/2023,34
123,Barnsley,343,15/09/2018,247
124,Barnsley juniors,145,22/05/2016,37
125,Barnstaple,293,01/01/2019,105
126,Barnstaple juniors,145,27/05/2018,39
127,Barrow,242,05/01/2019,168
128,Barrow juniors,106,10/06/2018,44
129,Barry Curtis,261,01/02/2020,205
130,Barry Island,616,01/01/2019,87
131,Barry juniors,98,20/08/2017,23
132,Barshaw juniors,97,21/07/2019,22
133,Bartley Park,228,15/01/2022,55
134,Barton Trail,45,11/06/2022,12
135,Basildon,281,01/06/2019,114
136,Basingstoke,707,11/01/2020,343
137,Basingstoke juniors,218,14/05/2017,77
138,Batemans Bay,245,31/12/2022,67
139,Bath Odd Down juniors,184,19/05/2019,68
140,Bath Skyline,542,04/01/2020,234
141,Bathurst,511,18/02/2023,187
142,Battery Park juniors,49,26/01/2020,27
143,Baxter,29,15/07/2023,4
144,Baxter Park juniors,95,29/05/2022,34
145,Baysgarth Park,210,21/10/2023,181
146,Bayview Road,52,19/06/2021,14
147,Beach Strip,74,05/08/2023,46
148,Beacon,689,18/01/2020,233
149,Beacon Hill Country Park,296,04/03/2023,165
150,Beacon juniors,83,29/10/2023,58
151,Bear Creek Greenbelt,160,30/07/2022,72
152,Beatrixpark,185,29/05/2023,50
153,Beaufort Lake,59,27/08/2022,12
154,Beaumont Park juniors,100,02/07/2023,23
155,Beckenham Place,426,10/06/2023,205
156,Beckenham Place juniors,78,14/05/2023,32
157,Beckton,159,22/04/2017,49
158,Bedfont Lakes,314,03/09/2016,86
159,Bedford,613,18/01/2020,305
160,Bedford juniors,116,21/05/2017,44
161,Bedgebury Pinetum,380,04/01/2020,135
162,Bedworth,379,15/02/2020,
163,Beechpark juniors,114,12/09/2021,60
164,Beehive juniors,165,07/05/2017,47
165,Beeston,630,18/01/2020,273
166,Bega,148,26/03/2016,52
167,Belfast Victoria,431,01/01/2020,258
168,Belfast Victoria juniors,80,22/05/2022,57
169,Bellerive,412,01/01/2020,328
170,Bellevue,44,15/07/2017,13
171,Bellevue Park juniors,110,28/02/2021,35
172,Bells Parade,188,06/08/2022,60
173,Bellville,1607,20/01/2018,654
174,Belton House,591,01/01/2019,243
175,Belvoir Castle,313,22/01/2022,93
176,Benalla Botanical Gardens,151,09/11/2019,48
177,Bendigo Botanic Gardens,160,24/12/2022,72
178,Bere Island,181,08/08/2015,26
179,Berkeley Green,274,01/02/2020,116
180,Berrinba,395,01/01/2020,157
181,Berwick Springs,404,01/01/2019,159
182,Berwick Waters,204,09/11/2019,77
183,Berwyn,204,05/03/2022,70
184,Bestwood Village,406,01/01/2020,112
185,Bethlehem,274,09/09/2017,69
186,Bethlem Royal Hospital,280,22/06/2019,48
187,Betteshanger juniors,54,21/05/2017,21
188,Betty’s Bay,537,29/12/2018,164
189,Bevendean Down,158,01/01/2023,29
190,Beverley Westwood,419,13/07/2019,167
191,Bexley,727,01/01/2020,
192,Bezuidenhout,412,27/01/2018,134
193,Białystok,98,24/06/2023,62
194,Bibra Lake,396,25/01/2020,263
195,Bicester,682,29/07/2023,169
196,Bickershaw,23,06/04/2019,4
197,Bideford,277,01/01/2019,95
198,Big Bay,762,23/01/2016,293
199,Bill Rose Sports Complex,238,31/08/2019,18
200,Bill Thorpe Walking Bridge,69,13/11/2021,32
201,Billdalsparken,221,06/06/2023,39
202,Billericay,502,23/03/2019,
203,Billingham juniors,35,29/04/2018,8
204,Birchwood Trails,24,29/07/2023,18
205,Birdsland Reserve,170,11/01/2020,94
206,Birkenhead,793,18/01/2020,512
207,Bishan,150,01/01/2019,98
208,Black Combe,63,24/06/2023,37
209,Black Park,888,18/01/2020,364
210,Blackbutt,538,03/08/2013,163
211,Blackhill,143,24/12/2016,72
212,Blackpool,695,01/01/2020,262
213,Blaise Castle,582,20/05/2023,153
214,Blandford,312,04/01/2020,163
215,Blenheim,93,31/12/2022,61
216,Blickling,558,01/01/2018,197
217,Blickling juniors,64,30/01/2022,30
218,Bloxwich juniors,102,02/07/2023,33
219,Blue Gum Hills,163,06/09/2014,85
220,Blue Lagoon,258,30/03/2019,45
221,Blyth Links,724,01/01/2020,
222,Błonie,117,24/06/2023,30
223,"Błonie, Krotoszyn",116,06/05/2023,34
224,Bodington juniors,126,05/01/2020,85
225,Bodmin juniors,73,17/09/2017,19
226,Bognor Regis,442,01/01/2020,
227,Bognor Regis juniors,151,03/06/2018,
228,Bois de Boulogne,206,13/04/2019,
229,Boksburg,1523,20/01/2018,270
230,Bolberry Down,254,26/08/2023,
231,Bolton,472,09/06/2018,223
232,Borrisokane Town,160,01/02/2020,6
233,Bosmont Stadium,308,16/03/2019,84
234,Boston,234,20/04/2019,129
235,Boston Road Rec juniors,118,19/01/2020,18
236,Botanical Garden,2263,19/01/2019,733
237,Bourke Racecourse,57,09/11/2019,28
238,Bournemouth,967,01/01/2020,303
239,Bowen,152,11/03/2023,29
240,Bower Park,108,23/09/2023,21
241,Bowling Park,261,29/02/2020,79
242,Brabrand,90,11/05/2013,44
243,Bracknell,469,11/06/2016,
244,Bracknell juniors,227,13/01/2019,
245,Braidwood Showground,183,22/09/2018,
246,Brakpan,545,21/04/2018,13
247,Bramhall Park,726,21/12/2019,299
248,Bramley,309,01/01/2018,108
249,Bramley juniors,64,29/10/2017,28
250,Bramshall Road,161,28/05/2022,
251,Brandkop,570,18/01/2020,216
252,Brandon Country Park,457,01/01/2020,66
253,Brauhaus Afrika,228,03/09/2022,88
254,Braunstone,891,01/01/2020,302
255,Bray juniors,93,05/02/2017,61
256,Brayton Academy juniors,87,27/06/2021,14
257,Breakwater,100,03/06/2023,27
258,Breckland Leisure Centre juniors,75,27/10/2019,20
259,Bredasdorp,179,20/10/2018,53
260,Breede Valley,366,15/02/2020,141
261,Brentwood,226,24/08/2019,63
262,Bressay,94,19/01/2019,33
263,Bretton Park juniors,21,28/08/2022,6
264,Brickfields,190,06/01/2018,72
265,Bridgend juniors,168,04/06/2023,121
266,Bridgetown,515,28/01/2017,65
267,Brierley Forest,373,01/01/2019,168
268,Brighouse,507,31/08/2019,193
269,Brighouse juniors,83,21/07/2019,26
270,Bright,246,27/01/2018,106
271,Brighton & Hove,859,01/01/2020,447
272,Brightwater,398,01/01/2020,223
273,Brimbank,350,19/08/2017,89
274,Brisbane Valley Rail Trail,199,14/01/2023,23
275,Brixworth Country,311,11/01/2020,95
276,Broad Park,261,25/02/2023,118
277,Broadbeach Waters,206,10/04/2021,99
